accession	reason
SRR25056936	busco_completeness_below_0.5
SRR25056937	busco_completeness_below_0.5
SRR25056939	busco_completeness_below_0.5
SRR25056940	busco_completeness_below_0.5
SRR25056943	busco_completeness_below_0.5
SRR25056944	busco_completeness_below_0.5
SRR25056945	busco_completeness_below_0.5
SRR25212066	busco_completeness_below_0.5
SRR25212107	busco_completeness_below_0.5
SRR25295424	busco_completeness_below_0.5
SRR25342341	busco_completeness_below_0.5
SRR25408041	busco_completeness_below_0.5
SRR25421586	busco_completeness_below_0.5
SRR25458923	busco_completeness_below_0.5
SRR25644120	busco_completeness_below_0.5
SRR25775951	busco_completeness_below_0.5
SRR25870370	busco_completeness_below_0.5
SRR26076561	busco_completeness_below_0.5
SRR26082556	busco_completeness_below_0.5
SRR26392757	busco_completeness_below_0.5
SRR26459358	busco_completeness_below_0.5
SRR26620347	busco_completeness_below_0.5
SRR26620436	busco_completeness_below_0.5
SRR26627467	busco_completeness_below_0.5
SRR26699516	busco_completeness_below_0.5
SRR26858724	busco_completeness_below_0.5
SRR26994926	busco_completeness_below_0.5
SRR27130544	busco_completeness_below_0.5
SRR27211936	busco_completeness_below_0.5
SRR27216483	busco_completeness_below_0.5
SRR27319339	busco_completeness_below_0.5
SRR27341218	busco_completeness_below_0.5
SRR27372010	busco_completeness_below_0.5
SRR2739910	busco_completeness_below_0.5
SRR27460107	busco_completeness_below_0.5
SRR27535887	busco_completeness_below_0.5
SRR27731480	busco_completeness_below_0.5
SRR27885842	busco_completeness_below_0.5
SRR27895355	busco_completeness_below_0.5
SRR27999910	busco_completeness_below_0.5
SRR27999911	busco_completeness_below_0.5
SRR28087327	busco_completeness_below_0.5
SRR28121468	busco_completeness_below_0.5
SRR28121592	busco_completeness_below_0.5
SRR28289108	busco_completeness_below_0.5
SRR28389625	busco_completeness_below_0.5
SRR28413004	missing_busco_summary
SRR28435025	busco_completeness_below_0.5
SRR28533349	busco_completeness_below_0.5
SRR28546375	busco_completeness_below_0.5
SRR28547211	busco_completeness_below_0.5
SRR28547368	busco_completeness_below_0.5
SRR28556911	busco_completeness_below_0.5
SRR28637142	busco_completeness_below_0.5
SRR28673948	busco_completeness_below_0.5
SRR28788848	busco_completeness_below_0.5
SRR28816041	busco_completeness_below_0.5
SRR28816044	busco_completeness_below_0.5
SRR28871495	busco_completeness_below_0.5
SRR28891692	busco_completeness_below_0.5
SRR28891796	busco_completeness_below_0.5
SRR28891797	busco_completeness_below_0.5
SRR28906323	busco_completeness_below_0.5
SRR28906865	busco_completeness_below_0.5
SRR28910061	busco_completeness_below_0.5
SRR28958732	busco_completeness_below_0.5
SRR28958898	busco_completeness_below_0.5
SRR29000694	busco_completeness_below_0.5
SRR29188269	busco_completeness_below_0.5
SRR29188354	busco_completeness_below_0.5
SRR29225315	busco_completeness_below_0.5
SRR29262887	busco_completeness_below_0.5
SRR29262890	busco_completeness_below_0.5
SRR29262975	busco_completeness_below_0.5
SRR29299107	busco_completeness_below_0.5
SRR29299194	busco_completeness_below_0.5
SRR29299200	busco_completeness_below_0.5
SRR29299204	busco_completeness_below_0.5
SRR29299207	busco_completeness_below_0.5
SRR29299214	busco_completeness_below_0.5
SRR29299215	busco_completeness_below_0.5
SRR29299222	busco_completeness_below_0.5
SRR29299227	busco_completeness_below_0.5
SRR29299231	busco_completeness_below_0.5
SRR29299237	busco_completeness_below_0.5
SRR29299415	busco_completeness_below_0.5
SRR29348158	busco_completeness_below_0.5
SRR29348163	busco_completeness_below_0.5
